Date,Price,P/FCF,P/EBITDA,P/E,EV/EBITDA,P/S,P/B,EV/B,EV/FCF,LTDebt/EV
3/25/11,26.05,248.4819,65.686,200.3846,81.5589,2.7522,17.3084,16.273,104.0255,0
3/28/11,26.69,254.5867,67.2998,205.3077,84.6108,2.8198,17.7336,16.882,107.9179,0
3/29/11,26.91,256.6852,67.8545,207,85.3532,2.8431,17.8798,17.0301,108.8649,0
3/30/11,27.57,262.9807,69.5188,212.0769,87.5806,2.9128,18.3183,17.4745,111.7059,0
3/31/11,27.76,#N/A N/A,77.9464,213.5385,89.592,3.5697,16.7587,16.0692,#N/A N/A,0
4/1/11,27.66,#N/A N/A,77.6656,212.7692,89.2542,3.5568,16.6983,16.0086,#N/A N/A,0
4/4/11,27.08,#N/A N/A,76.037,208.3077,87.295,3.4822,16.3482,15.6572,#N/A N/A,0
4/5/11,27.13,#N/A N/A,76.1774,208.6923,87.4639,3.4886,16.3783,15.6875,#N/A N/A,0
4/6/11,26.76,#N/A N/A,75.1385,205.8462,86.214,3.4411,16.155,15.4633,#N/A N/A,0
4/7/11,26.58,#N/A N/A,74.6331,204.4615,85.606,3.4179,16.0463,15.3543,#N/A N/A,0
4/8/11,26.17,#N/A N/A,73.4819,201.3077,84.221,3.3652,15.7988,15.1059,#N/A N/A,0
4/11/11,26.61,#N/A N/A,74.7174,204.6923,85.7073,3.4218,16.0644,15.3725,#N/A N/A,0
4/12/11,26.75,#N/A N/A,75.1105,205.7692,86.1802,3.4398,16.1489,15.4573,#N/A N/A,0
4/13/11,26.9,#N/A N/A,75.5316,206.9231,86.6869,3.4591,16.2395,15.5482,#N/A N/A,0
4/14/11,26.76,#N/A N/A,75.1385,205.8462,86.214,3.4411,16.155,15.4633,#N/A N/A,0
4/15/11,26.65,#N/A N/A,74.8297,205,85.8424,3.4269,16.0886,15.3967,#N/A N/A,0
4/18/11,26.06,#N/A N/A,73.173,200.4615,83.8494,3.3511,15.7324,15.0392,#N/A N/A,0
4/19/11,26.85,#N/A N/A,75.3912,206.5385,86.518,3.4526,16.2093,15.5179,#N/A N/A,0
