date,_TYPE_,_FREQ_,total_volume
07/08/2008,1,319,935631
07/09/2008,1,263,750955
07/10/2008,1,266,979874
07/11/2008,1,330,1111509
07/14/2008,1,313,872474
07/15/2008,1,353,1336825
07/16/2008,1,299,901981
07/17/2008,1,307,911015
07/18/2008,1,234,533539
07/21/2008,1,239,367720
07/22/2008,1,245,437454
07/23/2008,1,317,535200
07/24/2008,1,228,517285
07/25/2008,1,190,385943
07/28/2008,1,252,581804
07/29/2008,1,239,344633
07/30/2008,1,242,577123
07/31/2008,1,241,512189
08/01/2008,1,215,535789
08/04/2008,1,193,387596
08/05/2008,1,278,496772
08/06/2008,1,225,479798
08/07/2008,1,219,518724
08/08/2008,1,260,643850
08/11/2008,1,273,481451
08/12/2008,1,232,541953
08/13/2008,1,233,736622
08/14/2008,1,241,718025
08/15/2008,1,210,432761
08/18/2008,1,236,376827
08/19/2008,1,260,361103
08/20/2008,1,222,310355
08/21/2008,1,223,390360
08/22/2008,1,229,353141
08/25/2008,1,237,409307
08/26/2008,1,229,363073
08/27/2008,1,198,418114
08/28/2008,1,234,475921
08/29/2008,1,246,432722
09/02/2008,1,209,432482
09/03/2008,1,239,627595
09/04/2008,1,378,894399
09/05/2008,1,306,761443
09/08/2008,1,304,668802
09/09/2008,1,247,548434
09/10/2008,1,279,737170
09/11/2008,1,299,918677
09/12/2008,1,276,754308
09/15/2008,1,376,1321555
09/16/2008,1,375,1476494
09/17/2008,1,383,1854994
09/18/2008,1,431,2000089
09/19/2008,1,401,1503164
09/22/2008,1,386,607336
09/23/2008,1,396,863851
09/24/2008,1,304,830945
09/25/2008,1,362,811276
09/26/2008,1,322,683055
09/29/2008,1,466,1776973
09/30/2008,1,422,892023
10/01/2008,1,359,694953
10/02/2008,1,383,1300049
10/03/2008,1,424,1099205
10/06/2008,1,490,2472429
10/07/2008,1,416,1268885
10/08/2008,1,477,1930415
10/09/2008,1,518,1410226
10/10/2008,1,381,1962953
10/13/2008,1,482,1037793
10/14/2008,1,473,914199
10/15/2008,1,462,1279042
10/16/2008,1,494,1646257
10/17/2008,1,419,1123422
10/20/2008,1,397,512277
10/21/2008,1,333,558256
10/22/2008,1,372,1156118
10/23/2008,1,475,1343044
10/24/2008,1,345,1029082
10/27/2008,1,329,859370
10/28/2008,1,360,724329
10/29/2008,1,322,643280
10/30/2008,1,373,472352
10/31/2008,1,352,540666
11/03/2008,1,304,392398
11/04/2008,1,373,865216
11/05/2008,1,372,701680
11/06/2008,1,358,1229139
11/07/2008,1,313,493996
11/10/2008,1,328,546614
11/11/2008,1,401,829488
11/12/2008,1,372,1501749
11/13/2008,1,436,1322954
11/14/2008,1,310,1377426
11/17/2008,1,364,812964
11/18/2008,1,393,1060539
11/19/2008,1,488,1542249
11/20/2008,1,461,2129542
11/21/2008,1,402,1901495
11/24/2008,1,431,816153
11/25/2008,1,350,526260
11/26/2008,1,341,587802
11/28/2008,1,253,219490
12/01/2008,1,387,690218
12/02/2008,1,333,586484
12/03/2008,1,309,831316
12/04/2008,1,352,713825
12/05/2008,1,343,892410
12/08/2008,1,361,829034
12/09/2008,1,335,771505
12/10/2008,1,285,662574
12/11/2008,1,350,642305
