date,_TYPE_,_FREQ_,total_volume
03/18/2008,1,412,617211
03/19/2008,1,426,1703277
03/20/2008,1,357,562965
03/24/2008,1,273,493640
03/25/2008,1,244,256270
03/26/2008,1,265,221631
03/27/2008,1,258,355537
03/28/2008,1,235,259325
03/31/2008,1,260,252995
04/01/2008,1,294,395733
04/02/2008,1,301,266059
04/03/2008,1,293,266186
04/04/2008,1,253,323231
04/07/2008,1,282,307074
04/08/2008,1,247,237565
04/09/2008,1,286,347514
04/10/2008,1,237,350031
04/11/2008,1,246,526333
04/14/2008,1,197,375034
04/15/2008,1,257,426891
04/16/2008,1,258,544023
04/17/2008,1,285,384459
04/18/2008,1,330,707613
04/21/2008,1,290,157394
04/22/2008,1,244,187692
04/23/2008,1,213,182293
04/24/2008,1,290,316183
04/25/2008,1,273,227307
04/28/2008,1,214,191422
04/29/2008,1,193,184685
04/30/2008,1,300,362243
05/01/2008,1,250,313661
05/02/2008,1,256,304100
05/05/2008,1,205,165419
05/06/2008,1,255,357192
05/07/2008,1,310,262958
05/08/2008,1,229,232455
05/09/2008,1,216,200625
05/12/2008,1,205,236210
05/13/2008,1,169,195816
05/14/2008,1,242,379162
05/15/2008,1,263,301075
05/16/2008,1,302,397489
05/19/2008,1,271,269293
05/20/2008,1,257,233278
05/21/2008,1,313,281335
05/22/2008,1,221,185389
05/23/2008,1,267,304622
05/27/2008,1,181,181091
05/28/2008,1,228,226036
05/29/2008,1,273,418744
05/30/2008,1,210,179273
06/02/2008,1,251,348417
06/03/2008,1,292,371906
06/04/2008,1,275,388776
06/05/2008,1,307,355718
06/06/2008,1,398,671423
06/09/2008,1,271,487986
06/10/2008,1,239,411515
06/11/2008,1,328,510818
06/12/2008,1,259,400134
06/13/2008,1,251,388959
06/16/2008,1,227,405659
06/17/2008,1,212,302908
06/18/2008,1,254,581164
06/19/2008,1,440,2916792
06/20/2008,1,356,547837
06/23/2008,1,227,247581
06/24/2008,1,223,387289
06/25/2008,1,216,314204
06/26/2008,1,307,467951
06/27/2008,1,277,415592
06/30/2008,1,251,470501
07/01/2008,1,288,460060
07/02/2008,1,360,756376
07/03/2008,1,225,343975
07/07/2008,1,266,595737
07/08/2008,1,266,564894
07/09/2008,1,223,656675
07/10/2008,1,248,528824
07/11/2008,1,258,699653
07/14/2008,1,255,438076
07/15/2008,1,311,907242
07/16/2008,1,260,622851
07/17/2008,1,269,770925
07/18/2008,1,229,406430
07/21/2008,1,220,275775
07/22/2008,1,206,359279
07/23/2008,1,281,430051
07/24/2008,1,206,386669
07/25/2008,1,219,250164
07/28/2008,1,238,217459
07/29/2008,1,212,450106
07/30/2008,1,239,585149
07/31/2008,1,217,511594
08/01/2008,1,224,327973
08/04/2008,1,177,252972
08/05/2008,1,226,346213
08/06/2008,1,216,595073
08/07/2008,1,203,304134
08/08/2008,1,245,528732
08/11/2008,1,246,536708
08/12/2008,1,222,392425
08/13/2008,1,190,418224
08/14/2008,1,241,568868
08/15/2008,1,232,439990
08/18/2008,1,215,299683
08/19/2008,1,199,297534
08/20/2008,1,222,312769
08/21/2008,1,218,268513
08/22/2008,1,208,253685
08/25/2008,1,225,267135
08/26/2008,1,223,289985
08/27/2008,1,212,325355
08/28/2008,1,210,294667
08/29/2008,1,198,214458
09/02/2008,1,188,349707
09/03/2008,1,227,462216
09/04/2008,1,287,743370
09/05/2008,1,284,476612
09/08/2008,1,261,421597
09/09/2008,1,237,358299
09/10/2008,1,259,461881
09/11/2008,1,217,524661
09/12/2008,1,238,564264
09/15/2008,1,321,685126
09/16/2008,1,308,881032
09/17/2008,1,356,1020432
09/18/2008,1,394,876561
