PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,RETX
84788,20071012,AMZN,AMAZON COM INC,15473,2313510,0.033915
84788,20071015,AMZN,AMAZON COM INC,15473,2313510,-0.01992
84788,20071016,AMZN,AMAZON COM INC,15473,2313510,-0.011046
84788,20071017,AMZN,AMAZON COM INC,15473,2313510,0.011393
84788,20071018,AMZN,AMAZON COM INC,15473,2313510,-0.007731
84788,20071019,AMZN,AMAZON COM INC,15473,2313510,-0.001002
84788,20071022,AMZN,AMAZON COM INC,15473,2313510,0.017045
84788,20071023,AMZN,AMAZON COM INC,15473,2313510,0.104393
84788,20071024,AMZN,AMAZON COM INC,15473,2313510,-0.119917
84788,20071025,AMZN,AMAZON COM INC,15473,2313510,-0.005861
84788,20071026,AMZN,AMAZON COM INC,15473,2313510,0.020292
84788,20071029,AMZN,AMAZON COM INC,15473,2313510,0.001111
84788,20071030,AMZN,AMAZON COM INC,15473,2313510,-0.020644
84788,20071031,AMZN,AMAZON COM INC,15473,2313510,0.010313
84788,20071101,AMZN,AMAZON COM INC,15473,2313510,-0.016826
84788,20071102,AMZN,AMAZON COM INC,15473,2313510,-0.019053
84788,20071105,AMZN,AMAZON COM INC,15473,2313510,-0.018725
84788,20071106,AMZN,AMAZON COM INC,15473,2313510,0.034372
84788,20071107,AMZN,AMAZON COM INC,15473,2313510,-0.002592
84788,20071108,AMZN,AMAZON COM INC,15473,2313510,-0.039794
84788,20071109,AMZN,AMAZON COM INC,15473,2313510,-0.056114
84788,20071112,AMZN,AMAZON COM INC,15473,2313510,-0.023957
84788,20071113,AMZN,AMAZON COM INC,15473,2313510,0.037143
84788,20071114,AMZN,AMAZON COM INC,15473,2313510,-0.016905
84788,20071115,AMZN,AMAZON COM INC,15473,2313510,-0.008407
84788,20071116,AMZN,AMAZON COM INC,15473,2313510,0.009634
84788,20071119,AMZN,AMAZON COM INC,15473,2313510,0.007379
84788,20071120,AMZN,AMAZON COM INC,15473,2313510,0.015282
84788,20071121,AMZN,AMAZON COM INC,15473,2313510,-0.007837
84788,20071123,AMZN,AMAZON COM INC,15473,2313510,0.020938
84788,20071126,AMZN,AMAZON COM INC,15473,2313510,-0.001554
84788,20071127,AMZN,AMAZON COM INC,15473,2313510,0.052722
84788,20071128,AMZN,AMAZON COM INC,15473,2313510,0.05503
84788,20071129,AMZN,AMAZON COM INC,15473,2313510,-0.012735
84788,20071130,AMZN,AMAZON COM INC,15473,2313510,0.015816
84788,20071203,AMZN,AMAZON COM INC,15473,2313510,0.003865
84788,20071204,AMZN,AMAZON COM INC,15473,2313510,0.0385
84788,20071205,AMZN,AMAZON COM INC,15473,2313510,-0.012922
84788,20071206,AMZN,AMAZON COM INC,15473,2313510,0.010945
84788,20071207,AMZN,AMAZON COM INC,15473,2313510,0.001061
84788,20071210,AMZN,AMAZON COM INC,15473,2313510,-0.013678
84788,20071211,AMZN,AMAZON COM INC,15473,2313510,-0.024403
84788,20071212,AMZN,AMAZON COM INC,15473,2313510,0.00584
84788,20071213,AMZN,AMAZON COM INC,15473,2313510,0.01227
84788,20071214,AMZN,AMAZON COM INC,15473,2313510,-0.035931
84788,20071217,AMZN,AMAZON COM INC,15473,2313510,-0.044791
84788,20071218,AMZN,AMAZON COM INC,15473,2313510,0.021154
84788,20071219,AMZN,AMAZON COM INC,15473,2313510,0.028657
84788,20071220,AMZN,AMAZON COM INC,15473,2313510,0.013426
84788,20071221,AMZN,AMAZON COM INC,15473,2313510,0.007507
84788,20071224,AMZN,AMAZON COM INC,15473,2313510,-0.002739
84788,20071226,AMZN,AMAZON COM INC,15473,2313510,0.020218
84788,20071227,AMZN,AMAZON COM INC,15473,2313510,0.015078
84788,20071228,AMZN,AMAZON COM INC,15473,2313510,0.002122
84788,20071231,AMZN,AMAZON COM INC,15473,2313510,-0.019164
84788,20080102,AMZN,AMAZON COM INC,15473,2313510,0.038968
84788,20080103,AMZN,AMAZON COM INC,15473,2313510,-0.010805
84788,20080104,AMZN,AMAZON COM INC,15473,2313510,-0.06743
84788,20080107,AMZN,AMAZON COM INC,15473,2313510,0.000338
